,risk_category,state_name,county_name,census_tract_code
54629,Current Risk (FEMA High Risk),New York,Queens,36081096400
56054,Current Risk (FEMA High Risk),New York,Queens,36081099802
56376,Current Risk (FEMA High Risk),New York,Queens,36081097204
57349,Current Risk (FEMA High Risk),New York,Queens,36081101002
67585,Current Risk (FEMA High Risk),New York,Queens,36081091900
70640,Current Risk (FEMA High Risk),New York,Queens,36081099200
83316,Current Risk (FEMA High Risk),New York,Queens,36081095400
2748,Current Risk (FEMA High Risk),New York,New York,36061001502
16104,Current Risk (FEMA High Risk),New York,New York,36061031704
18244,Current Risk (FEMA High Risk),New York,New York,36061000700
18248,Current Risk (FEMA High Risk),New York,New York,36061001501
18797,Current Risk (FEMA High Risk),New York,New York,36061017000
21885,Current Risk (FEMA High Risk),New York,New York,36061019200
28027,Current Risk (FEMA High Risk),New York,New York,36061001300
29235,Current Risk (FEMA High Risk),New York,New York,36061023803
43802,Current Risk (FEMA High Risk),New York,New York,36061002400
59989,Current Risk (FEMA High Risk),New York,New York,36061006200
60326,Current Risk (FEMA High Risk),New York,New York,36061003900
60333,Current Risk (FEMA High Risk),New York,New York,36061016200
62962,Current Risk (FEMA High Risk),New York,New York,36061031100
78990,Current Risk (FEMA High Risk),New York,New York,36061029700
81974,Current Risk (FEMA High Risk),New York,New York,36061009901
13822,Current Risk (FEMA High Risk),New York,Nassau,36059414502
80470,Current Risk (FEMA High Risk),New York,Nassau,36059414501
1457,Current Risk (FEMA High Risk),New York,Kings,36047033000
1464,Current Risk (FEMA High Risk),New York,Kings,36047005301
4296,Current Risk (FEMA High Risk),New York,Kings,36047055500
5598,Current Risk (FEMA High Risk),New York,Kings,36047061200
12091,Current Risk (FEMA High Risk),New York,Kings,36047056302
14123,Current Risk (FEMA High Risk),New York,Kings,36047034200
15712,Current Risk (FEMA High Risk),New York,Kings,36047034800
21493,Current Risk (FEMA High Risk),New York,Kings,36047101800
22259,Current Risk (FEMA High Risk),New York,Kings,36047011902
23137,Current Risk (FEMA High Risk),New York,Kings,36047062200
30494,Current Risk (FEMA High Risk),New York,Kings,36047054700
30552,Current Risk (FEMA High Risk),New York,Kings,36047032800
34936,Current Risk (FEMA High Risk),New York,Kings,36047061004
45771,Current Risk (FEMA High Risk),New York,Kings,36047035200
52790,Current Risk (FEMA High Risk),New York,Kings,36047044902
53050,Current Risk (FEMA High Risk),New York,Kings,36047001802
53618,Current Risk (FEMA High Risk),New York,Kings,36047032600
53620,Current Risk (FEMA High Risk),New York,Kings,36047033600
53996,Current Risk (FEMA High Risk),New York,Kings,36047054300
54369,Current Risk (FEMA High Risk),New York,Kings,36047007700
55215,Current Risk (FEMA High Risk),New York,Kings,36047070201
55998,Current Risk (FEMA High Risk),New York,Kings,36047035602
65157,Current Risk (FEMA High Risk),New York,Kings,36047001801
83253,Current Risk (FEMA High Risk),New York,Kings,36047062800
3364,Current Risk (FEMA High Risk),New York,Bronx,36005001903
7132,Current Risk (FEMA High Risk),New York,Bronx,36005051602
9093,Current Risk (FEMA High Risk),New York,Bronx,36005009302
23822,Current Risk (FEMA High Risk),New York,Bronx,36005000100
28057,Current Risk (FEMA High Risk),New York,Bronx,36005013800
34131,Current Risk (FEMA High Risk),New York,Bronx,36005009000
37877,Current Risk (FEMA High Risk),New York,Bronx,36005005200
53769,Current Risk (FEMA High Risk),New York,Bronx,36005016000
53829,Current Risk (FEMA High Risk),New York,Bronx,36005015700
55412,Current Risk (FEMA High Risk),New York,Bronx,36005011800
55690,Current Risk (FEMA High Risk),New York,Bronx,36005027402
74767,Current Risk (FEMA High Risk),New York,Bronx,36005009600
76127,Current Risk (FEMA High Risk),New York,Bronx,36005013200
77571,Current Risk (FEMA High Risk),New York,Bronx,36005051601
14020,Current Risk (FEMA High Risk),New Jersey,Union,34039030802
14026,Current Risk (FEMA High Risk),New Jersey,Union,34039031100
35894,Current Risk (FEMA High Risk),New Jersey,Union,34039039801
44043,Current Risk (FEMA High Risk),New Jersey,Union,34039030600
80169,Current Risk (FEMA High Risk),New Jersey,Union,34039035400
6520,Current Risk (FEMA High Risk),New Jersey,Salem,34033021400
13704,Current Risk (FEMA High Risk),New Jersey,Salem,34033020400
21752,Current Risk (FEMA High Risk),New Jersey,Salem,34033022100
23892,Current Risk (FEMA High Risk),New Jersey,Salem,34033020500
28127,Current Risk (FEMA High Risk),New Jersey,Salem,34033020300
