U.S. Coastline Counties: 2016,,,,,,
,,,,,,
"STATE/
COUNTY
FIPS","STATE
FIPS","COUNTY
FIPS",COUNTY NAME,STATE NAME,COASTLINE REGION,"V.2016
POPULATION
ESTIMATE"
33015,33,015,Rockingham County,New Hampshire,Atlantic,"303,251"
34001,34,001,Atlantic County,New Jersey,Atlantic,"270,991"
34009,34,009,Cape May County,New Jersey,Atlantic,"94,430"
34011,34,011,Cumberland County,New Jersey,Atlantic,"153,797"
34013,34,013,Essex County,New Jersey,Atlantic,"796,914"
34017,34,017,Hudson County,New Jersey,Atlantic,"677,983"
34023,34,023,Middlesex County,New Jersey,Atlantic,"837,073"
34025,34,025,Monmouth County,New Jersey,Atlantic,"625,846"
34029,34,029,Ocean County,New Jersey,Atlantic,"592,497"
34033,34,033,Salem County,New Jersey,Atlantic,"63,436"
34039,34,039,Union County,New Jersey,Atlantic,"555,630"
36005,36,005,Bronx County,New York,Atlantic,"1,455,720"
36047,36,047,Kings County,New York,Atlantic,"2,629,150"
36059,36,059,Nassau County,New York,Atlantic,"1,361,500"
36061,36,061,New York County,New York,Atlantic,"1,643,734"
36081,36,081,Queens County,New York,Atlantic,"2,333,054"
36085,36,085,Richmond County,New York,Atlantic,"476,015"
36103,36,103,Suffolk County,New York,Atlantic,"1,492,583"
36119,36,119,Westchester County,New York,Atlantic,"974,542"
37013,37,013,Beaufort County,North Carolina,Atlantic,"47,526"
37015,37,015,Bertie County,North Carolina,Atlantic,"19,854"
37019,37,019,Brunswick County,North Carolina,Atlantic,"126,953"
37029,37,029,Camden County,North Carolina,Atlantic,"10,418"
37031,37,031,Carteret County,North Carolina,Atlantic,"68,890"
37041,37,041,Chowan County,North Carolina,Atlantic,"14,383"
37049,37,049,Craven County,North Carolina,Atlantic,"103,445"
37053,37,053,Currituck County,North Carolina,Atlantic,"25,809"
37055,37,055,Dare County,North Carolina,Atlantic,"35,964"
37095,37,095,Hyde County,North Carolina,Atlantic,"5,517"
37129,37,129,New Hanover County,North Carolina,Atlantic,"223,483"
37133,37,133,Onslow County,North Carolina,Atlantic,"187,136"
37137,37,137,Pamlico County,North Carolina,Atlantic,"12,821"
37139,37,139,Pasquotank County,North Carolina,Atlantic,"39,864"
37141,37,141,Pender County,North Carolina,Atlantic,"59,090"
37143,37,143,Perquimans County,North Carolina,Atlantic,"13,335"
37177,37,177,Tyrrell County,North Carolina,Atlantic,"4,141"
37187,37,187,Washington County,North Carolina,Atlantic,"12,195"
41007,41,007,Clatsop County,Oregon,Pacific,"38,632"
41011,41,011,Coos County,Oregon,Pacific,"63,761"
41015,41,015,Curry County,Oregon,Pacific,"22,713"
41019,41,019,Douglas County,Oregon,Pacific,"108,457"
41039,41,039,Lane County,Oregon,Pacific,"369,519"
41041,41,041,Lincoln County,Oregon,Pacific,"47,806"
41057,41,057,Tillamook County,Oregon,Pacific,"26,143"
44001,44,001,Bristol County,Rhode Island,Atlantic,"49,067"
44003,44,003,Kent County,Rhode Island,Atlantic,"164,614"
44005,44,005,Newport County,Rhode Island,Atlantic,"82,784"
44007,44,007,Providence County,Rhode Island,Atlantic,"633,673"
44009,44,009,Washington County,Rhode Island,Atlantic,"126,288"
45013,45,013,Beaufort County,South Carolina,Atlantic,"183,149"
45019,45,019,Charleston County,South Carolina,Atlantic,"396,484"
45029,45,029,Colleton County,South Carolina,Atlantic,"37,923"
45043,45,043,Georgetown County,South Carolina,Atlantic,"61,399"
45051,45,051,Horry County,South Carolina,Atlantic,"322,342"
45053,45,053,Jasper County,South Carolina,Atlantic,"28,465"
48007,48,007,Aransas County,Texas,Gulf of Mexico,"25,721"
48039,48,039,Brazoria County,Texas,Gulf of Mexico,"354,195"
48057,48,057,Calhoun County,Texas,Gulf of Mexico,"21,965"
48061,48,061,Cameron County,Texas,Gulf of Mexico,"422,135"
48071,48,071,Chambers County,Texas,Gulf of Mexico,"39,899"
48167,48,167,Galveston County,Texas,Gulf of Mexico,"329,431"
48201,48,201,Harris County,Texas,Gulf of Mexico,"4,589,928"
48239,48,239,Jackson County,Texas,Gulf of Mexico,"14,869"
48245,48,245,Jefferson County,Texas,Gulf of Mexico,"254,679"
48261,48,261,Kenedy County,Texas,Gulf of Mexico,404
48273,48,273,Kleberg County,Texas,Gulf of Mexico,"31,690"
48321,48,321,Matagorda County,Texas,Gulf of Mexico,"37,187"
48355,48,355,Nueces County,Texas,Gulf of Mexico,"361,350"
48391,48,391,Refugio County,Texas,Gulf of Mexico,"7,321"
48409,48,409,San Patricio County,Texas,Gulf of Mexico,"67,655"
48469,48,469,Victoria County,Texas,Gulf of Mexico,"92,467"
48489,48,489,Willacy County,Texas,Gulf of Mexico,"21,810"
51001,51,001,Accomack County,Virginia,Atlantic,"32,947"
51057,51,057,Essex County,Virginia,Atlantic,"11,123"
51059,51,059,Fairfax County,Virginia,Atlantic,"1,138,652"
51073,51,073,Gloucester County,Virginia,Atlantic,"37,214"
51093,51,093,Isle of Wight County,Virginia,Atlantic,"36,596"
51095,51,095,James City County,Virginia,Atlantic,"74,404"
51099,51,099,King George County,Virginia,Atlantic,"25,984"
